brand,directive_title,convert_name,would_be_status,note
MRR-CA,Call Clicks,Call Clicks,Done (ready),
MRR-CA,Clicks Any Scheduler CTA,Clicks Any Scheduler CTA,Done (ready),
MRR-CA,Clicks Learn More on Tiles,Clicks Learn More on Tiles,Done (ready),
MRR-CA,Clicks Nav Scheduler CTA,Clicks Nav Scheduler CTA,Done (ready),
MRR-CA,Clicks Testimonial CTA,Clicks Testimonial CTA,Done (ready),
MRR-CA,Clicks Testimonial Scheduler CTA,Clicks Testimonial Scheduler CTA,Done (ready),
MRR-CA,FLF: Views Step #1 | Contact Info,FLF: Views Step #1 | Contact Info,Done (ready),
MRR-CA,FLF: Views Step #2 | Service Details,FLF: Views Step #2 | Service Details,Done (ready),
MRR-CA,FLF: Views Step #3 | Calendar,FLF: Views Step #3 | Calendar,Done (ready),
MRR-CA,Submits Form Lead - Combined,Submits Form Lead - Combined,Done (ready),
MRR-CA,Submits LF Lead + Contact Us,Submits LF Lead + Contact Us,Done (ready),
MRR-CA,Submits SF Lead - All,Submits SF Lead - All,Done (ready),
MRR-CA,Submits SF Lead - Footer,Submits SF Lead - Footer,Done (ready),
MRR-CA,Submits SF Lead - Hero,Submits SF Lead - Hero,Done (ready),
MRR-CA,Views Special Offers,Views Special Offers,Done (ready),
MRR-CA,Views Service Pages,Views Service Pages,Done (ready),
MRR-CA,Views Testimonials,Views Testimonials Page,Done (ready),
MRR-CA,,,,
SHG,Call Clicks,Call Clicks,Done (ready),
SHG,Clicks Any Scheduler CTA,Clicks Any Scheduler CTA,Done (ready),
SHG,Clicks Learn More on Tiles,Clicks Learn More on Tiles,Done (ready),
SHG,Clicks Nav Scheduler CTA,Clicks Nav Scheduler CTA,Done (ready),
SHG,Clicks Testimonial CTA,Clicks Testimonial CTA,Done (ready),
SHG,FLF: Views Step #1 | Contact Info,FLF: Views Step #1 | Contact Info,Done (ready),
SHG,FLF: Views Step #2 | Service Details,FLF: Views Step #2 | Service Details,Done (ready),
SHG,FLF: Views Step #3 | Calendar,FLF: Views Step #3 | Calendar,Done (ready),
SHG,Submits Form Lead - Combined,Submits Form Lead - Combined,Done (ready),
SHG,Submits LF Lead + Contact Us,Submits LF Lead + Contact Us,Done (ready),
SHG,Submits SF Lead - All,Submits SF Lead - All,Done (ready),
SHG,Submits SF Lead - Footer,Submits SF Lead - Footer,Done (ready),
SHG,Submits SF Lead - Hero,Submits SF Lead - Hero,Done (ready),
SHG,Views Special Offers,Views Special Offers,Done (ready),
SHG,Views Service Pages,Views Any Service Page,Done (ready),
SHG,Views Testimonials,Views Testimonials Page,Done (ready),
SHG,,,,"Splits service pages by PRODUCT TYPE (Bathroom/Closet/Kitchen/Pantry/Creative Spaces), not residential/commercial — different dimension, not mapped."
WDG,Call Clicks,Call Clicks,Done (ready),
WDG,Clicks Any Scheduler CTA,Clicks Any Scheduler CTA,Done (ready),
WDG,Clicks Learn More on Tiles,Clicks Learn More on Tiles,Done (ready),
WDG,Clicks Nav Scheduler CTA,Clicks Nav Scheduler CTA,Done (ready),
WDG,Clicks Testimonial CTA,Clicks on Testimonials CTA,Done (ready),
WDG,Clicks Testimonial Scheduler CTA,Clicks on Testimonial Scheduler CTA,Done (ready),
WDG,FLF: Views Step #1 | Contact Info,FLF: Views Step #1 | Contact Info,Done (ready),
WDG,FLF: Views Step #2 | Service Details,FLF: Views Step #2 | Service Details,Done (ready),
WDG,Submits Form Lead - Combined,Submits Form Lead - Combined,Done (ready),
WDG,Submits LF Lead + Contact Us,Submits LF Lead + Contact Us,Done (ready),
WDG,Submits SF Lead - All,Submits SF Lead - All,Done (ready),
WDG,Submits SF Lead - Footer,Submits SF Lead - Footer,Done (ready),
WDG,Submits SF Lead - Hero,Submits SF Lead - Hero,Done (ready),
WDG,Views Special Offers,Visit Special Offers Page,Done (ready),
WDG,Views Service Pages,Views Service Pages,Done (ready),
WDG,Views Testimonials,Views Testimonials Page,Done (ready),
WDG,,,,No FLF Calendar-step goal exists at all — WDG's lead flow only tracks Contact Info + Service Details steps.
