directive_title,directive_type,brand_code,status
[Rev] Time Spent on Site (15s),goal,MRA,Done
[Rev] Time Spent on Site (15s),goal,ASV,Done
[Rev] Time Spent on Site (15s),goal,MDG,Done
[Rev] Time Spent on Site (15s),goal,PDS,Done
[Rev] Time Spent on Site (15s),goal,RBW,Done
[Rev] Time Spent on Site (15s),goal,MLY,To do
[Rev] Time Spent on Site (15s),goal,FSP,Done
[Rev] Time Spent on Site (15s),goal,GUY,To do
[Rev] Time Spent on Site (15s),goal,JUK,To do
[Rev] Time Spent on Site (15s),goal,MOJ,To do
[Rev] Time Spent on Site (15s),goal,MRH,To do
[Rev] Time Spent on Site (15s),goal,MRR,To do
[Rev] Time Spent on Site (15s),goal,MRR-CA,N/A
[Rev] Time Spent on Site (15s),goal,MRE,To do
[Rev] Time Spent on Site (15s),goal,SHG,N/A
[Rev] Time Spent on Site (15s),goal,WDG,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MRA,Done
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,ASV,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MDG,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,PDS,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,RBW,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MLY,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,FSP,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,GUY,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,JUK,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MOJ,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MRH,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MRR,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MRR-CA,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,MRE,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,SHG,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),goal,WDG,N/A
[Rev] Time Spent On Step 1: Contact Info,goal,MRA,Done
[Rev] Time Spent On Step 1: Contact Info,goal,ASV,Done
[Rev] Time Spent On Step 1: Contact Info,goal,MDG,Done
[Rev] Time Spent On Step 1: Contact Info,goal,PDS,Done
[Rev] Time Spent On Step 1: Contact Info,goal,RBW,Done
[Rev] Time Spent On Step 1: Contact Info,goal,MLY,To do
[Rev] Time Spent On Step 1: Contact Info,goal,FSP,Done
[Rev] Time Spent On Step 1: Contact Info,goal,GUY,To do
[Rev] Time Spent On Step 1: Contact Info,goal,JUK,To do
[Rev] Time Spent On Step 1: Contact Info,goal,MOJ,To do
[Rev] Time Spent On Step 1: Contact Info,goal,MRH,To do
[Rev] Time Spent On Step 1: Contact Info,goal,MRR,To do
