Goal (directive),MRA,ASV,MDG,PDS,RBW,MLY,FSP,GUY,JUK,MOJ,MRH,MRR,MRR-CA,MRE,SHG,WDG
[Rev] Time Spent on Site (15s),Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Rev] Time Spent On Step 0: Zipcode (MRA),Done,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
[Rev] Time Spent On Step 1: Contact Info,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Rev] Time Spent On Step 2: Service Details,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Rev] Time Spent On Step 3: Calendar,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Rev] Time Spent on Financing (15s),N/A,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Rev] Total Page Views,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Call Clicks,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Call Clicks from Navigation,Done,To do,Done,To do,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Clicks Any Scheduler CTA,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Clicks Hero Scheduler CTA,Done,To do,To do,To do,To do,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Clicks Footer SF Submit CTA,To do,To do,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Clicks Hero SF Submit CTA,To do,To do,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Clicks Learn More on Tiles,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Clicks Link in Navigation,Done,To do,Done,To do,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Clicks Nav Scheduler CTA,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
