brand,title,our_status,suggested_status,convert_name,convert_id,convert_status
MRA,Submits Form Lead - Combined,Done,To do,Submits Form Lead - Combined,1004101324,archived
MRA,Submits LF Lead + Contact Us,Done,To do,(no real goal — placeholder/absent),,n/a
ASV,[Rev] Total Page Views,To do,Done,[Rev] Total Page Views,1004122741,active
ASV,Chat Appointment Made,To do,Done,Chat Booked Appointment,100467147,active
ASV,Chat Started,To do,Done,Chat Start,1004120153,active
ASV,Chat Lead Submitted,To do,Done,Chat Lead,100467146,active
MDG,[Rev] Total Page Views,To do,Done,[Rev] Total Page Views,1004122738,active
MDG,Step 1 | Contact Info | Validation Error Exposure,Done,To do,Step 1 | Contact Info | Validation Error Exposure,1004117395,archived
MDG,[Upsell] Clicks Submit CTA,Done,To do,(no real goal — placeholder/absent),,n/a
MDG,Chat Appointment Made,To do,Done,Chat Appointment Made,1004120506,active
MDG,Chat Started,To do,Done,Chat Started,1004120504,active
MDG,Chat Lead Submitted,To do,Done,Chat Lead Submitted,1004120505,active
PDS,[Rev] Total Page Views,To do,Done,[Rev] Total Page Views,1004122739,active
PDS,[Upsell] Clicks Submit CTA,Done,To do,(no real goal — placeholder/absent),,n/a
RBW,[Rev] Total Page Views,To do,Done,[Rev] Total Page Views,1004122737,active
RBW,Clicks Learn More on Tiles,Done,To do,(no real goal — placeholder/absent),,n/a
RBW,[Upsell] Clicks Submit CTA,Done,To do,(no real goal — placeholder/absent),,n/a
MLY,[Rev] Time Spent on Site (15s),To do,Done,[Rev] Time Spent on Site (15 sec),1004113319,active
MLY,Call Clicks,To do,Done,Call Clicks,100421623,active
MLY,Clicks Any Scheduler CTA,To do,Done,Clicks Any Scheduler CTA,1004100853,active
MLY,Clicks Hero Scheduler CTA,To do,Done,Clicks Hero Scheduler CTA,100476446,active
MLY,Clicks Learn More on Tiles,To do,Done,Clicks on Tiles Learn More Link,100472968,active
MLY,Clicks Nav Scheduler CTA,To do,Done,Clicks Nav Scheduler CTA,100476450,active
MLY,Clicks Testimonial CTA,To do,Done,Clicks on Testimonials CTA [Read More Reviews],100472971,active
MLY,Clicks Testimonial Scheduler CTA,To do,Done,Clicks Testimonials Scheduler CTA,100494670,active
MLY,Clicks Warranty CTA,To do,Done,Clicks Warranty CTA,100492759,active
MLY,FLF: Views Step #3 | Calendar,To do,Done,FLF: Step #2 Reached - Calendar/Apt Details,100480832,active
MLY,Scrolled 100% - Natl. Homepage,To do,Done,Scrolled 100% - Natl. Homepage,1004114775,active
MLY,Scrolled 75% - Natl. Homepage,To do,Done,Scrolled 75% - Natl. Homepage,1004114774,active
MLY,Scrolled 50% - Natl. Homepage,To do,Done,Scrolled 50% - Natl. Homepage,1004114773,active
MLY,Scrolled 25% - Natl. Homepage,To do,Done,Scrolled 25% - Natl. Homepage,1004114772,active
MLY,Scrolled 100% - Local Homepage,To do,Done,Scrolled 100% - Local Homepage,1004114779,active
MLY,Scrolled 75% - Local Homepage,To do,Done,Scrolled 75% - Local Homepage,1004114778,active
MLY,Scrolled 50% - Local Homepage,To do,Done,Scrolled 50% - Local Homepage,1004114777,active
MLY,Scrolled 25% - Local Homepage,To do,Done,Scrolled 25% - Local Homepage,1004114776,active
MLY,Submits Form Lead - Combined,To do,Done,Submits Form Lead - Combined,1004101323,active
MLY,Submits LF Lead + Contact Us,To do,Done,Submits LF Lead + Estimates + Contact Us,100424923,active
MLY,Submits SF Lead - All,To do,Done,Submits SF Lead,100476990,active
MLY,Views Service Pages,To do,Done,Views Services Page,100472970,active
MLY,Views Residential Service Pages,To do,Done,Visits Residential Services Page,100443270,active
MLY,Views Testimonials,To do,Done,Views Testimonials Page,100472972,active
MLY,Chat Appointment Made,To do,Done,Chat Appointment Made,1004111179,active
MLY,Chat Started,To do,Done,Starts Chat,1004111180,active
MLY,Chat Lead Submitted,To do,Done,Submits Chat Lead,1004111178,active
FSP,[Rev] Total Page Views,To do,Done,[Rev] Total Page Views,1004122740,active
FSP,[Upsell] Clicks Submit CTA,Done,To do,(no real goal — placeholder/absent),,n/a
GUY,[Rev] Time Spent on Site (15s),To do,Done,[Rev] Time Spent on Site (15 sec),1004113863,active
GUY,Call Clicks,To do,Done,Call Clicks,100421536,active
GUY,Clicks Any Scheduler CTA,To do,Done,Clicks Any Scheduler CTA,1004113651,active
GUY,Clicks Learn More on Tiles,To do,Done,Clicks Learn More on Tiles,100473612,active
GUY,Clicks Nav Scheduler CTA,To do,Done,Clicks Nav Scheduler CTA,1004113652,active
GUY,Clicks Testimonial CTA,To do,Done,Clicks Testimonial CTA,100473462,active
GUY,Clicks Testimonial Scheduler CTA,To do,Done,Clicks Testimonial Scheduler CTA,1004113713,active
GUY,FLF: Views Step #1 | Contact Info,To do,Done,FLF: Views Step #1 | Contact Info,1004113714,active
GUY,FLF: Views Step #2 | Service Details,To do,Done,FLF: Views Step #2 | Service Details,1004113715,active
GUY,FLF: Views Step #3 | Calendar,To do,Done,FLF: Views Step #3 | Calendar,1004113716,active
GUY,Scrolled 100% - Natl. Homepage,To do,Done,Scrolled 100% - Natl. Homepage,1004113723,active
GUY,Scrolled 75% - Natl. Homepage,To do,Done,Scrolled 75% - Natl. Homepage,1004113722,active
GUY,Scrolled 50% - Natl. Homepage,To do,Done,Scrolled 50% - Natl. Homepage,1004113721,active
GUY,Scrolled 25% - Natl. Homepage,To do,Done,Scrolled 25% - Natl. Homepage,1004113720,active
GUY,Scrolled 100% - Local Homepage,To do,Done,Scrolled 100% - Local Homepage,1004114705,active
GUY,Scrolled 75% - Local Homepage,To do,Done,Scrolled 75% - Local Homepage,1004114704,active
GUY,Scrolled 50% - Local Homepage,To do,Done,Scrolled 50% - Local Homepage,1004114703,active
GUY,Scrolled 25% - Local Homepage,To do,Done,Scrolled 25% - Local Homepage,1004114702,active
GUY,Submits Form Lead - Combined,To do,Done,Submit Form Lead - Combined,1004113650,active
GUY,Submits LF Lead + Contact Us,To do,Done,Submits LF Lead + Contact Us,100421537,active
